curveY,curveX,end point?,Place Count,place id,Rank,startY
-27.934999964,-52.553746835,伪,43,81,2,65.5
18.949000001,-82.580734177,伪,39,228,6,38
65.684803951,60.276860759,伪,53,7,1,70
14.968059188,-8.925924051,伪,39,310,8,18
-47.447175479,161.414493671,伪,30,559,15,-54
59.984656818,109.346379747,伪,42,128,3,60.5
37.999999942,166.800898734,伪,39,242,6,38
20.870469036,24.097189873,伪,43,68,2,65.5
18.833000057,-65.807936709,伪,42,104,3,60.5
14.430572595,133.284177215,伪,53,50,1,70
-6.157025254,76.900506329,伪,33,389,10,-5.8
7.230937142,159.370481013,伪,35,363,9,6
53.999999996,170,伪,41,141,4,54
28.482151316,98.440594937,伪,39,284,7,28.5
-53.999998988,149.758962025,伪,30,540,15,-54
27.215329604,29.484658228,伪,33,405,11,-17.5
4.417422077,39.093443038,伪,39,316,8,18
17.180576179,7.008012658,伪,31,485,13,-37.5
19.105998837,-50.867531646,伪,30,511,14,-46.5
-56.955574233,167.251455696,伪,30,590,16,-60
-1.708998992,-41.213683544,伪,40,200,5,47
28.061168876,64.478354430,伪,39,264,7,28.5
-59.997496490,104.712392405,伪,30,563,16,-60
22.056099275,-25.659354430,伪,53,6,1,70
23.124151502,-14.416151899,伪,31,479,13,-37.5
37.970152319,47.850291139,伪,39,220,6,38
38.269057193,26.620202532,伪,43,54,2,65.5
-59.993385926,104.565316456,伪,30,572,16,-60
18.449000179,-45.364759494,伪,53,40,1,70
46.609477061,70.282215190,伪,40,185,5,47
38.440000004,-85.661594937,伪,41,139,4,54
53.999998617,161.004443038,伪,41,172,4,54
17.999995723,107.957544304,伪,39,311,8,18
-37.499999997,170,伪,31,470,13,-37.5
21.198092631,-23.723518987,伪,42,105,3,60.5
-59.997217975,105.678987342,伪,30,568,16,-60
65.499987796,145.365873418,伪,43,78,2,65.5
-26.779455397,12.001708861,伪,43,80,2,65.5
19.739000000,-102.297,真,35,341,9,6
14.699074951,70.290025316,伪,39,317,8,18
16.116375574,140.689772152,伪,43,95,2,65.5
52.521334163,80.527658228,伪,41,166,4,54
69.999999835,156.353873418,伪,53,11,1,70
25.493825661,-27.279493671,伪,31,472,13,-37.5
25.423822006,-14.660860759,伪,30,566,16,-60
8.073000001,-80.932,真,53,26,1,70
15.274784197,3.432063291,伪,30,516,14,-46.5
38.814989651,37.874481013,伪,41,141,4,54
-27.999999972,170,伪,32,448,12,-28
10.148355158,130.933012658,伪,39,293,7,28.5
25.121384985,59.320531646,伪,39,274,7,28.5
17.734534340,81.38,伪,39,314,8,18
28.301209962,79.945265823,伪,39,276,7,28.5
1.395787957,29.181329114,伪,33,422,11,-17.5
65.483568549,105.335417722,伪,43,78,2,65.5
16.729000000,-82.541265823,伪,39,308,8,18
18.877000192,-57.105405063,伪,41,148,4,54
44.850257529,151.207126582,伪,53,52,1,70
-46.499983994,132.523,伪,30,510,14,-46.5
64.968417309,70.572215190,伪,43,60,2,65.5
46.694849543,85.497518987,伪,40,202,5,47
17.197610186,-2.971088608,伪,31,485,13,-37.5
-17.494410416,88.649012658,伪,33,405,11,-17.5
45.898603070,46.184430380,伪,43,87,2,65.5
41.635522170,62.151405063,伪,40,198,5,47
19.756000001,-87.204202532,伪,53,13,1,70
10.602776491,124.021253165,伪,31,498,13,-37.5
13.484229466,134.977151899,伪,42,136,3,60.5
21.132999996,-83.243924051,伪,31,476,13,-37.5
-46.499999986,170,伪,30,504,14,-46.5
21.634001554,-42.729848101,伪,39,225,6,38
28.499999980,159.780481013,伪,39,263,7,28.5
60.173228708,115.868037975,伪,42,129,3,60.5
-52.470925673,76.911518987,伪,30,548,15,-54
26.961188394,141.718151899,伪,43,92,2,65.5
62.849099458,56.723531646,伪,53,6,1,70
9.396000008,-56.452468354,伪,39,319,8,18
6.034148761,80.880556962,伪,35,342,9,6
18.413001844,-43.187215190,伪,40,193,5,47
54.016513410,95.125582278,伪,43,85,2,65.5
54.092452198,54.521797468,伪,43,67,2,65.5
19.667662724,-15.423696203,伪,53,5,1,70
-27.995999811,-43.185569620,伪,40,206,5,47
36.877981075,165.168405063,伪,39,254,6,38
50.205085472,160.063392405,伪,41,178,4,54
25.544000060,-69.767139241,伪,53,2,1,70
17.511813095,-7.513518987,伪,32,444,12,-28
27.673557893,76.891822785,伪,42,126,3,60.5
22.410971084,5.062886076,伪,30,563,16,-60
-46.499999806,163.779569620,伪,30,527,14,-46.5
8.272906681,10.510759494,伪,33,384,10,-5.8
-14.659998628,-27.834531646,伪,33,390,10,-5.8
8.613056282,139.177316456,伪,39,336,8,18
16.781236469,70.533468354,伪,39,318,8,18
14.517000002,-82.410873418,伪,53,20,1,70
37.897443902,86.823367089,伪,39,242,6,38
32.744600769,157.296253165,伪,39,256,6,38
29.774370149,5.157316456,伪,33,406,11,-17.5
-28.262898806,-9.030101266,伪,41,174,4,54
16.340997434,-46.074531646,伪,30,539,15,-54
-13.529058400,4.593215190,伪,30,578,16,-60
21.018852785,-6.725620253,伪,39,230,6,38
-28.132999448,-26.913367089,伪,33,428,11,-17.5
6.000000180,149.016784810,伪,35,338,9,6
18.987995862,-44.848341772,伪,30,537,15,-54
17.158814513,-9.703797468,伪,30,512,14,-46.5
-17.499675492,116.934177215,伪,33,423,11,-17.5
-37.464779770,99.192316456,伪,31,494,13,-37.5
-59.362966291,73.475139241,伪,30,562,16,-60
14.008309053,144.975696203,伪,39,296,7,28.5
-37.499999852,163.566151899,伪,31,488,13,-37.5
37.999981053,126.011784810,伪,39,233,6,38
-50.380434461,63.392962025,伪,30,535,15,-54
-0.590008921,-26.522734177,伪,32,451,12,-28
65.499539780,158.088101266,伪,43,88,2,65.5
18.700996244,-44.641,伪,30,510,14,-46.5
-46.492747775,107.292658228,伪,30,525,14,-46.5
-46.499997733,146.919848101,伪,30,514,14,-46.5
6.117000087,-51.073329114,伪,39,246,6,38
21.091934010,139.057594937,伪,41,179,4,54
22.454951115,-32.735202532,伪,30,563,16,-60
19.855001462,-47.718278481,伪,43,65,2,65.5
18.917440243,14.755126582,伪,30,534,15,-54
-21.535359304,158.379746835,伪,32,466,12,-28
-46.499947443,130.919037975,伪,30,517,14,-46.5
17.838971918,123.011481013,伪,53,49,1,70
53.999976377,138.359493671,伪,41,157,4,54
53.999897881,133.589721519,伪,41,170,4,54
18.452001467,-33.956962025,伪,53,39,1,70
-46.483819745,96.787341772,伪,30,512,14,-46.5
5.999994968,141.855860759,伪,35,356,9,6
16.689927222,23.574683544,伪,30,512,14,-46.5
20.519384240,-5.189518987,伪,30,505,14,-46.5
35.112999635,-62.155417722,伪,31,474,13,-37.5
53.999999799,166.871227848,伪,41,160,4,54
16.509002596,-36.518202532,伪,39,266,7,28.5
21.771999938,-70.459759494,伪,30,503,14,-46.5
9.320983276,-25.035240506,伪,30,549,15,-54
6.000000502,142.749974684,伪,35,345,9,6
37.997160785,111.245987342,伪,39,247,6,38
11.992891610,123.677341772,伪,40,208,5,47
14.705617856,52.797113924,伪,39,279,7,28.5
-17.496973391,154.101063291,伪,33,433,11,-17.5
54.309872502,157.673670886,伪,42,132,3,60.5
13.098276579,126.335,伪,31,497,13,-37.5
9.530770344,39.543708861,伪,39,243,6,38
53.965023379,102.945670886,伪,41,169,4,54
13.170080810,133.124341772,伪,35,366,9,6
5.454691019,51.415949367,伪,33,387,10,-5.8
65.499158312,133.171,伪,43,82,2,65.5
23.565153931,26.374886076,伪,30,566,16,-60
8.946825839,134.169746835,伪,39,296,7,28.5
33.745999969,-81.429012658,伪,30,531,15,-54
10.830473713,149.176936709,伪,35,365,9,6
-53.999997410,158.118734177,伪,30,552,15,-54
21.396304514,27.260075949,伪,39,230,6,38
2.950000019,-63.212025316,伪,43,77,2,65.5
69.999992555,140.497430380,伪,53,20,1,70
-53.977026000,88.155227848,伪,30,532,15,-54
38.171988707,9.973594937,伪,35,362,9,6
6.000403963,104.510848101,伪,35,341,9,6
6.000850177,99.303544304,伪,35,337,9,6
60.499999433,163.987037975,伪,42,124,3,60.5
18.690109169,-0.350000000,伪,30,510,14,-46.5
44.286642212,161.116202532,伪,40,208,5,47
60.499983253,133.654746835,伪,42,110,3,60.5
69.942736599,98.277848101,伪,53,28,1,70
10.064862845,147.220544304,伪,35,367,9,6
-31.537994265,-23.244354430,伪,33,392,10,-5.8
29.891124177,25.585962025,伪,31,470,13,-37.5
10.453969781,11.596582278,伪,41,163,4,54
32.313584460,19.372088608,伪,40,181,5,47
-27.289399118,70.393810127,伪,32,442,12,-28
18.325732888,38.869367089,伪,42,112,3,60.5
34.335263740,158.467962025,伪,39,253,6,38
14.961009116,-35.409924051,伪,53,16,1,70
53.851656549,91.780696203,伪,41,160,4,54
6.797844297,160.662025316,伪,35,364,9,6
69.999988445,145.141265823,伪,53,30,1,70
18.665812784,30.464544304,伪,33,377,10,-5.8
20.275579632,34.105822785,伪,43,66,2,65.5
18.188996798,-27.131974684,伪,33,426,11,-17.5
-8.440493401,52.889797468,伪,33,409,11,-17.5
-46.499973065,128.778936709,伪,30,505,14,-46.5
20.725575427,22.559531646,伪,53,7,1,70
17.471999962,-70.474303797,伪,30,567,16,-60
28.499999953,166.824708861,伪,39,277,7,28.5
60.209275582,85.343721519,伪,42,117,3,60.5
45.863325841,64.669544304,伪,33,433,11,-17.5
62.183538412,157.363797468,伪,53,47,1,70
-59.999998185,146.291265823,伪,30,567,16,-60
